Programnamn;Programkod;Personnummer;Namn;Medelbetyg;Kurs;Kurskod;Poang;Obligatorisk;Betyg
Statistik och dataanalys;LIU50007;2919203830;Reube Nashville;19.78;Epidemiometri;HSTD54;5;0;VG
Statistik och dataanalys;LIU50007;2919203830;Reube Nashville;19.78;Sambandsmodeller;HSTB20;10;1;VG
Statistik och dataanalys;LIU50007;2919203830;Reube Nashville;19.78;Surveymetodik med uppsats;HSTB21;10;1;G
Statistik och dataanalys;LIU50007;2919203830;Reube Nashville;19.78;Vetenskapsfilosofi;HVTA52;5;0;G
Statistik och dataanalys;LIU50007;2919203830;Reube Nashville;19.78;Linjar algebra;HMAA20;5;1;G
Statistik och dataanalys;LIU50007;2919203830;Reube Nashville;19.78;Diskret matematik och logik;HMAA61;5;1;G
Statistik och dataanalys;LIU50007;2919203830;Reube Nashville;19.78;Grunder i statistisk metodik;HSTA76;10;1;G
Statistik och dataanalys;LIU50007;2919203830;Reube Nashville;19.78;Programmering 1;HIBA20;5;1;VG
Statistik och dataanalys;LIU50007;2919203830;Reube Nashville;19.78;Javaprogrammering;HIBB20;5;1;G
Statistik och dataanalys;LIU50007;2919203830;Reube Nashville;19.78;Databaser: Design och programmering;HIBB31;5;1;G
Statistik och dataanalys;LIU50007;2919203830;Reube Nashville;19.78;Envariabelanalys far statistiker;HMAA54;10;1;VG
Statistik och dataanalys;LIU50007;2919203830;Reube Nashville;19.78;Statistisk analys av samhallsdata;HSTA21;10;1;G
Statistik och dataanalys;LIU50007;2919203830;Reube Nashville;19.78;Multivariata metoder;HSTC04;5;0;G
Statistik och dataanalys;LIU50007;2919203830;Reube Nashville;19.78;Statistisk teori I;HSTC20;5;0;G
Statistik och dataanalys;LIU50007;7524927211;Sim Kneisel;14.54;Epidemiometri;HSTD54;5;0;U
Statistik och dataanalys;LIU50007;7524927211;Sim Kneisel;14.54;Sambandsmodeller;HSTB20;10;1;U
Statistik och dataanalys;LIU50007;7524927211;Sim Kneisel;14.54;Surveymetodik med uppsats;HSTB21;10;1;U
Statistik och dataanalys;LIU50007;7524927211;Sim Kneisel;14.54;Vetenskapsfilosofi;HVTA52;5;0;U
Statistik och dataanalys;LIU50007;7524927211;Sim Kneisel;14.54;Linjar algebra;HMAA20;5;1;U
Statistik och dataanalys;LIU50007;7524927211;Sim Kneisel;14.54;Diskret matematik och logik;HMAA61;5;1;G
Statistik och dataanalys;LIU50007;7524927211;Sim Kneisel;14.54;Grunder i statistisk metodik;HSTA76;10;1;G
Statistik och dataanalys;LIU50007;7524927211;Sim Kneisel;14.54;Javaprogrammering;HIBB20;5;1;G
Statistik och dataanalys;LIU50007;7524927211;Sim Kneisel;14.54;Databaser: Design och programmering;HIBB31;5;1;G
Statistik och dataanalys;LIU50007;7524927211;Sim Kneisel;14.54;Data Mining;HSTC22;5;0;U
Statistik och dataanalys;LIU50007;7524927211;Sim Kneisel;14.54;Envariabelanalys far statistiker;HMAA54;10;1;G
Statistik och dataanalys;LIU50007;7524927211;Sim Kneisel;14.54;Multivariata metoder;HSTC04;5;0;G
Statistik och dataanalys;LIU50007;7524927211;Sim Kneisel;14.54;Statistisk analys av samhallsdata;HSTA21;10;1;U
Statistik och dataanalys;LIU50007;7524927211;Sim Kneisel;14.54;Statistisk teori I;HSTC20;5;0;U
Statistik och dataanalys;LIU50007;2287022663;Rafael Hastings;11.62;Epidemiometri;HSTD54;5;0;U
Statistik och dataanalys;LIU50007;2287022663;Rafael Hastings;11.62;Sambandsmodeller;HSTB20;10;1;U
